City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,san ciro de acosta,21.6333,-99.8167,19.97,91,80,0.48,MX,1696235558
312,kokopo,-4.352,152.2633,25.79,88,56,3.54,PG,1696235558
313,neijiang,29.5835,105.0622,19.95,89,100,2.39,CN,1696235558
314,al burayqah,30.4062,19.5739,24.86,61,3,4.35,LY,1696235558
315,ust'-ilimsk,58.0006,102.6619,1.79,71,100,4.47,RU,1696235558
316,ciudad tula,23.0,-99.7167,17.92,93,27,1.39,MX,1696235558
317,beruniy,41.6911,60.7525,22.98,27,0,3.09,UZ,1696235558
318,pontes e lacerda,-15.2261,-59.3353,23.49,81,45,0.84,BR,1696235559
319,cuyo,10.8525,121.0086,28.24,80,100,10.27,PH,1696235559
320,tazacorte,28.629,-17.9293,23.54,78,75,4.63,ES,1696235559
321,penzance,50.1186,-5.5371,16.62,100,75,5.14,GB,1696235559
322,savanna-la-mar,18.219,-78.1332,27.97,86,38,1.92,JM,1696235559
323,qaqortoq,60.7167,-46.0333,2.42,66,100,2.64,GL,1696235559
324,anadyr,64.75,177.4833,1.28,64,0,1.79,RU,1696235559
325,ta`u,-14.2336,-169.5144,26.75,80,100,10.28,AS,1696235560
326,san andres,12.5847,-81.7006,29.01,84,40,2.06,CO,1696235560
327,fort mcmurray,56.7268,-111.381,7.77,76,100,3.09,CA,1696235435
328,suklayin,15.7574,121.5503,28.51,80,100,2.4,PH,1696235560
329,winder,33.9926,-83.7202,18.07,96,0,0.0,US,1696235560
330,blenheim,-41.516,173.9528,8.99,63,3,4.29,NZ,1696235560
331,vila franca do campo,37.7167,-25.4333,19.93,99,100,3.74,PT,1696235560
332,beichengqu,40.4394,113.1536,19.52,30,76,4.63,CN,1696235560
333,vilyuchinsk,52.9306,158.4028,8.85,96,100,10.73,RU,1696235560
334,kayyerkan,69.3786,87.7439,-5.39,79,100,4.39,RU,1696235561
335,shingu,33.7333,135.9833,20.4,62,95,1.71,JP,1696235561
336,pasuquin,18.3328,120.6177,30.97,79,75,4.12,PH,1696235561
337,saipan,15.1355,145.701,29.39,79,0,5.66,MP,1696235561
338,jwaneng,-24.6004,24.7303,25.84,29,0,10.11,BW,1696235561
339,kirakira,-10.4544,161.9205,26.53,87,100,5.35,SB,1696235561
340,hamilton,39.1834,-84.5333,17.47,91,0,0.45,US,1696234987
341,taksimo,56.3444,114.8794,2.62,90,28,3.58,RU,1696235561
342,awjilah,29.1081,21.2869,27.02,43,37,3.17,LY,1696235561
343,javea,38.7833,0.1667,25.77,70,1,0.89,ES,1696235562
344,kapuskasing,49.4169,-82.4331,17.0,94,75,2.06,CA,1696235562
345,el jadid,33.2549,-8.506,23.45,71,100,1.58,MA,1696235390
346,bereznik,62.8551,42.7072,8.24,86,100,3.96,RU,1696235562
347,mandalgovi,45.7625,106.2708,10.65,46,8,8.8,MN,1696235562
348,seabra,-12.4186,-41.7703,18.29,94,66,1.92,BR,1696235273
349,usogorsk,63.4106,48.6872,10.37,92,100,4.86,RU,1696235562
350,island harbour,50.724,-1.2758,17.21,95,100,0.45,GB,1696235562
351,vizinga,61.0749,50.1031,11.55,81,98,4.95,RU,1696235562
352,villa regina,-39.1,-67.0667,15.55,15,100,1.34,AR,1696235562
353,atamyrat,37.8357,65.2106,26.8,13,2,1.27,TM,1696235563
354,maragogi,-9.0122,-35.2225,21.78,80,35,0.41,BR,1696235309
355,hithadhoo,-0.6,73.0833,28.17,70,39,5.67,MV,1696235563
356,palikir - national government center,6.9248,158.1611,28.94,73,21,2.87,FM,1696235563
357,ketchikan,55.3422,-131.6461,12.26,94,100,4.12,US,1696235563
358,garoua boulai,5.8833,14.55,25.22,77,49,0.44,CM,1696235563
359,taltal,-25.4,-70.4833,14.13,84,4,1.11,CL,1696235563
360,ha giang,22.8333,104.9833,32.58,55,21,1.6,VN,1696235563
361,abbeville,50.1,1.8333,19.72,73,97,1.19,FR,1696235564
362,prince rupert,54.3161,-130.3201,11.83,95,100,5.14,CA,1696235564
363,dawukou,39.0419,106.3958,21.78,38,69,1.11,CN,1696235564
